Brand,Model,Year,Trim,Drive,Description,Exterior Color,Interior Color,Miles,Price
Chevrolet,Silverado 1500,2017,LT,4WD,Crew Cab Short Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2021,AT4,4WD,with Leather Crew Cab Short Box ,Red exterior,Black interior,,
Chevrolet,Silverado 1500,2014,XL,4WD,"Crew Cab 176"" 60"" CA DRW ",White exterior,Gray interior,,
Chevrolet,Silverado 1500,2013,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
Chevrolet,Silverado 1500,2010,XL,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Chevrolet,Silverado 1500,2019,Raptor,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,LT,4WD,Double Cab Standard Box ,White exterior,Black interior,,
Chevrolet,Silverado 1500,2018,Limited,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
Chevrolet,Silverado 1500,2016,XL,RWD,"Crew Cab 156"" ",White exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,XL,4WD,SuperCrew 5.5' Box ,Unknown exterior,Unknown interior,,
Chevrolet,Silverado 1500,2014,Laramie,4WD,"Crew Cab 5'7"" Box ",Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,SV,Auto,V6 King Cab 4WD ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2019,Big,2WD,"Horn Crew Cab 6'4"" Box ",White exterior,Black interior,,
Chevrolet,Silverado 1500,2020,Lariat,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,XLT,4WD,SuperCrew 5.5' Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2016,XLT,4WD,SuperCrew 5.5' Box ,Silver exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,S,Automatic,King Cab RWD ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2017,LT,4WD,Crew Cab Standard Box ,White exterior,Gray interior,,
Chevrolet,Silverado 1500,2018,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
Chevrolet,Silverado 1500,2018,SR,Automatic,Double Cab 5' Bed V6 4WD ,Silver exterior,Unknown interior,,
Chevrolet,Silverado 1500,2017,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
