Brand,Model,Year,Miles,Price
Ford,F-150,2017,96270,33994
Ford,F-150,2019,27764,36990
Ford,F-150,2018,22356,32590
Ford,F-150,2018,51983,31998
Ford,F-150,2017,52339,32998
Ford,F-150,2014,46132,22990
Ford,F-150,2019,34628,45590
Ford,F-150,2019,65455,43998
Ford,F-150,2017,113253,35949
Ford,F-150,2019,11698,34998
Ford,F-150,2017,85304,62569
Ford,F-150,2021,3216,44590
Ford,F-150,2021,2126,52590
Ford,F-150,2019,44288,41998
Ford,F-150,2016,74299,38990
Ford,F-150,2014,83952,33998
Ford,F-150,2020,38818,42998
Ford,F-150,2020,5795,49590
Ford,F-150,2018,63806,33998
Ford,F-150,2019,36059,40979
Ford,F-150,2016,52575,47377
Ford,F-150,2018,78802,35979
Ford,F-150,2018,55600,37998
Ford,F-150,2021,10851,39998
Ford,F-150,2019,49721,50998
Ford,F-150,2019,39329,50990
Ford,F-150,2018,59925,40998
Ford,F-150,2018,22696,42998
Ford,F-150,2017,41705,35990
Ford,F-150,2021,15888,40998
Ford,F-150,2020,18117,60000
Ford,F-150,2020,81568,53280
Ford,F-150,2014,45993,34998
Ford,F-150,2019,28818,39400
Ford,F-150,2020,66413,55990
Ford,F-150,2017,68723,30881
Ford,F-150,2019,46322,51950
Ford,F-150,2018,49645,39998
Ford,F-150,2018,34830,36999
Ford,F-150,2018,38113,33999
Ford,F-150,2019,10367,33499
Ford,F-150,2020,12928,35998
Ford,F-150,2017,46514,30990
Ford,F-150,2019,60097,40551
Ford,F-150,2018,46060,30499
Ford,F-150,2017,66994,33998
Ford,F-150,2018,42825,63998
Ford,F-150,2015,135421,20900
Ford,F-150,2020,18290,46999
Ford,F-150,2018,31369,42499
Ford,F-150,2011,96257,11900
Ford,F-150,2012,118750,16995
Ford,F-150,2019,30337,44500
Ford,F-150,2018,27244,44995
Ford,F-150,2015,64880,36277
Ford,F-150,2014,129320,29713
Ford,F-150,2019,20677,34990
Ford,F-150,2020,21522,49991
Ford,F-150,2017,62775,30995
Ford,F-150,2018,34351,38998
Ford,F-150,2018,52498,33998
